Period 	 T100 	 T0 
120 	 3.740000 	 2.747000 
Point Number 	 Temperature 
0 	 54.443743 
 1 	 54.773404 
 2 	 54.356990 
 3 	 54.426392 
 4 	 54.426392 
 5 	 54.461094 
 6 	 54.426392 
 7 	 54.790755 
 8 	 54.825456 
 9 	 54.738703 
 10 	 54.426392 
 11 	 54.443743 
 12 	 54.391691 
 13 	 54.756054 
 14 	 54.426392 
 15 	 54.773404 
 16 	 54.426392 
 17 	 54.409042 
 18 	 54.790755 
 19 	 54.391691 
 20 	 54.374341 
 21 	 54.356990 
 22 	 54.356990 
 23 	 54.790755 
 24 	 54.808106 
 25 	 54.374341 
 26 	 54.773404 
 27 	 54.356990 
 28 	 54.704002 
 29 	 54.374341 
 30 	 54.721353 
 31 	 54.756054 
 32 	 54.356990 
 33 	 54.374341 
 34 	 54.721353 
 35 	 54.669301 
 36 	 54.651950 
 37 	 54.599898 
 38 	 54.322289 
 39 	 54.322289 
 40 	 54.339639 
 41 	 54.686651 
 42 	 54.287588 
 43 	 54.304938 
 44 	 54.686651 
 45 	 54.599898 
 46 	 54.270237 
 47 	 54.304938 
 48 	 54.287588 
 49 	 54.634600 
 50 	 54.304938 
 51 	 54.252886 
 52 	 54.287588 
 53 	 54.252886 
 54 	 54.651950 
 55 	 54.252886 
 56 	 54.270237 
 57 	 54.565197 
 58 	 54.651950 
 59 	 54.599898 
 60 	 54.547847 
 61 	 54.270237 
 62 	 54.200835 
 63 	 54.183484 
 64 	 54.166133 
 65 	 54.114082 
 66 	 54.200835 
 67 	 54.200835 
 68 	 54.426392 
 69 	 54.166133 
 70 	 54.426392 
 71 	 54.547847 
 72 	 54.565197 
 73 	 54.148783 
 74 	 54.166133 
 75 	 54.131432 
 76 	 54.114082 
 77 	 54.148783 
 78 	 54.426392 
 79 	 54.530496 
 80 	 54.096731 
 81 	 54.478444 
 82 	 54.079381 
 83 	 54.079381 
 84 	 54.079381 
 85 	 54.426392 
 86 	 54.044679 
 87 	 54.062030 
 88 	 54.426392 
 89 	 54.027329 
 90 	 54.356990 
 91 	 54.426392 
 92 	 54.044679 
 93 	 54.009978 
 94 	 54.374341 
 95 	 54.322289 
 96 	 54.409042 
 97 	 53.975277 
 98 	 53.975277 
 99 	 53.975277 
 100 	 54.339639 
 101 	 54.287588 
 102 	 53.957926 
 103 	 53.957926 
 104 	 53.923225 
 105 	 53.923225 
 106 	 53.905875 
 107 	 53.888524 
 108 	 53.905875 
 109 	 53.853823 
 110 	 54.200835 
 111 	 54.235536 
 112 	 53.836472 
 113 	 53.836472 
 114 	 54.183484 
 115 	 53.836472 
 116 	 54.218185 
 117 	 54.183484 
 118 	 53.853823 
 119 	 54.235536 
 120 	 54.166133 
 121 	 54.096731 
 122 	 54.200835 
 123 	 53.767070 
 124 	 54.079381 
 125 	 54.166133 
 126 	 53.767070 
 127 	 53.767070 
 128 	 54.114082 
 129 	 54.183484 
 130 	 53.715018 
 131 	 53.732369 
 132 	 54.148783 
 133 	 53.662966 
 134 	 53.697667 
 135 	 54.009978 
 136 	 54.079381 
 137 	 53.905875 
 138 	 53.628265 
 139 	 53.940576 
 140 	 53.992628 
 141 	 54.062030 
 142 	 53.992628 
 143 	 54.044679 
 144 	 53.610914 
 145 	 53.593564 
 146 	 53.558863 
 147 	 53.558863 
 148 	 53.905875 
 149 	 54.131432 
 150 	 53.524161 
 151 	 53.524161 
 152 	 53.888524 
 153 	 53.524161 
 154 	 53.506811 
 155 	 53.489460 
 156 	 53.853823 
 157 	 53.437408 
 158 	 53.801771 
 159 	 53.437408 
 160 	 53.819122 
 161 	 53.402707 
 162 	 53.732369 
 163 	 53.402707 
 164 	 53.385357 
 165 	 53.385357 
 166 	 53.368006 
 167 	 53.628265 
 168 	 53.767070 
 169 	 53.368006 
 170 	 53.333305 
 171 	 53.298604 
 172 	 53.298604 
 173 	 53.628265 
 174 	 53.263902 
 175 	 53.263902 
 176 	 53.610914 
 177 	 53.732369 
 178 	 53.229201 
 179 	 53.558863 
 180 	 53.229201 
 181 	 53.177149 
 182 	 53.177149 
 183 	 53.576213 
 184 	 53.177149 
 185 	 53.125098 
 186 	 53.489460 
 187 	 53.107747 
 188 	 53.472110 
 189 	 53.107747 
 190 	 53.073046 
 191 	 53.454759 
 192 	 53.472110 
 193 	 53.055695 
 194 	 53.020994 
 195 	 53.385357 
 196 	 53.020994 
 197 	 53.368006 
 198 	 53.003644 
 199 	 53.368006 
 200 	 53.333305 
 201 	 53.315954 
 202 	 52.934241 
 203 	 52.951592 
 204 	 52.934241 
 205 	 52.916891 
 206 	 52.899540 
 207 	 52.830138 
 208 	 53.142448 
 209 	 53.211851 
 210 	 53.194500 
 211 	 52.830138 
 212 	 52.830138 
 213 	 53.177149 
 214 	 53.211851 
 215 	 53.194500 
 216 	 52.795436 
 217 	 52.778086 
 218 	 53.090396 
 219 	 53.125098 
 220 	 52.743385 
 221 	 53.090396 
 222 	 53.038345 
 223 	 52.673982 
 224 	 53.073046 
 225 	 52.656632 
 226 	 52.968942 
 227 	 52.621930 
 228 	 52.968942 
 229 	 52.621930 
 230 	 52.986293 
 231 	 52.569879 
 232 	 52.951592 
 233 	 52.587229 
 234 	 52.552528 
 235 	 52.899540 
 236 	 52.500476 
 237 	 52.847488 
 238 	 52.465775 
 239 	 52.847488 
 240 	 52.483126 
 241 	 52.448424 
 242 	 52.431074 
 243 	 52.413723 
 244 	 52.760735 
 245 	 52.413723 
 246 	 52.361672 
 247 	 52.344321 
 248 	 52.708683 
 249 	 52.309620 
 250 	 52.691333 
 251 	 52.639281 
 252 	 52.621930 
 253 	 52.274919 
 254 	 52.309620 
 255 	 52.587229 
 256 	 52.587229 
 257 	 52.240217 
 258 	 52.222867 
 259 	 52.188166 
 260 	 52.604580 
 261 	 52.170815 
 262 	 52.153464 
 263 	 52.517827 
 264 	 52.136114 
 265 	 52.500476 
 266 	 52.170815 
 267 	 52.448424 
 268 	 52.118763 
 269 	 52.049361 
 270 	 52.066711 
 271 	 52.049361 
 272 	 52.032010 
 273 	 52.448424 
 274 	 52.448424 
 275 	 52.448424 
 276 	 52.396373 
 277 	 51.945257 
 278 	 52.309620 
 279 	 51.962608 
 280 	 52.326970 
 281 	 51.910556 
 282 	 51.910556 
 283 	 51.893205 
 284 	 51.858504 
 285 	 52.188166 
 286 	 52.205516 
 287 	 52.257568 
 288 	 52.222867 
 289 	 51.823803 
 290 	 52.170815 
 291 	 51.737050 
 292 	 52.066711 
 293 	 52.136114 
 294 	 51.754401 
 295 	 51.737050 
 296 	 51.702349 
 297 	 52.084062 
 298 	 52.032010 
 299 	 52.153464 
 300 	 52.257568 
 301 	 51.632947 
 302 	 51.650297 
 303 	 51.632947 
 304 	 51.945257 
 305 	 51.580895 
 306 	 51.945257 
 307 	 51.563544 
 308 	 51.528843 
 309 	 51.875855 
 310 	 51.528843 
 311 	 51.494142 
 312 	 51.528843 
 313 	 51.494142 
 314 	 51.823803 
 315 	 51.459441 
 316 	 51.927907 
 317 	 51.424739 
 318 	 51.424739 
 319 	 51.424739 
 320 	 51.754401 
 321 	 51.719700 
 322 	 51.684998 
 323 	 51.372688 
 324 	 51.737050 
 325 	 51.320636 
 326 	 51.285935 
 327 	 51.320636 
 328 	 51.285935 
 329 	 51.719700 
 330 	 51.563544 
 331 	 51.563544 
 332 	 51.650297 
 333 	 51.181831 
 334 	 51.181831 
 335 	 51.580895 
 336 	 51.181831 
 337 	 51.164481 
 338 	 51.494142 
 339 	 51.112429 
 340 	 51.112429 
 341 	 51.095078 
 342 	 51.407389 
 343 	 51.060377 
 344 	 51.459441 
 345 	 51.043026 
 346 	 51.043026 
 347 	 51.060377 
 348 	 51.355337 
 349 	 51.251234 
 350 	 50.973624 
 351 	 51.268584 
 352 	 51.251234 
 353 	 51.372688 
 354 	 51.285935 
 355 	 50.904222 
 356 	 50.904222 
 357 	 51.355337 
 358 	 51.199182 
 359 	 50.852170 
 360 	 50.869521 
 361 	 50.834819 
 362 	 51.129779 
 363 	 50.800118 
 364 	 50.782768 
 365 	 51.164481 
 366 	 51.095078 
 367 	 50.782768 
 368 	 50.748066 
 369 	 50.748066 
 370 	 50.748066 
 371 	 51.060377 
 372 	 50.696015 
 373 	 51.112429 
 374 	 51.043026 
 375 	 50.661313 
 376 	 50.626612 
 377 	 50.990975 
 378 	 50.938923 
 379 	 50.973624 
 380 	 50.609262 
 381 	 50.591911 
 382 	 50.834819 
 383 	 50.539859 
 384 	 50.904222 
 385 	 50.557210 
 386 	 50.539859 
 387 	 50.921572 
 388 	 50.852170 
 389 	 50.539859 
 390 	 50.470457 
 391 	 50.487808 
 392 	 50.418405 
 393 	 50.817469 
 394 	 50.435756 
 395 	 50.453106 
 396 	 50.852170 
 397 	 50.435756 
 398 	 50.418405 
 399 	 50.401055 
 400 	 50.366353 
 401 	 50.748066 
 402 	 50.696015 
 403 	 50.296951 
 404 	 50.331652 
 405 	 50.834819 
 406 	 50.713365 
 407 	 50.591911 
 408 	 50.678664 
 409 	 50.279600 
 410 	 50.244899 
 411 	 50.227549 
 412 	 50.227549 
 413 	 50.626612 
 414 	 50.609262 
 415 	 50.522509 
 416 	 50.557210 
 417 	 50.175497 
 418 	 50.175497 
 419 	 50.557210 
 420 	 50.574560 
 421 	 50.140796 
 422 	 50.470457 
 423 	 50.123445 
 424 	 50.123445 
 425 	 50.539859 
 426 	 50.453106 
 427 	 50.088744 
 428 	 50.054043 
 429 	 50.574560 
 430 	 50.435756 
 431 	 50.591911 
 432 	 50.054043 
 433 	 50.331652 
 434 	 50.019342 
 435 	 50.296951 
 436 	 50.383704 
 437 	 49.984640 
 438 	 49.932589 
 439 	 50.001991 
 440 	 50.314302 
 441 	 49.967290 
 442 	 49.949939 
 443 	 50.296951 
 444 	 50.279600 
 445 	 49.915238 
 446 	 49.897887 
 447 	 50.262250 
 448 	 50.279600 
 449 	 49.915238 
 450 	 49.845836 
 451 	 49.863186 
 452 	 50.227549 
 453 	 49.845836 
 454 	 49.863186 
 455 	 50.158146 
 456 	 50.158146 
 457 	 49.811135 
 458 	 49.793784 
 459 	 49.776433 
 460 	 49.793784 
 461 	 49.776433 
 462 	 50.158146 
 463 	 49.741732 
 464 	 49.759083 
 465 	 50.106095 
 466 	 50.140796 
 467 	 50.158146 
 468 	 49.741732 
 469 	 50.123445 
 470 	 49.741732 
 471 	 49.707031 
 472 	 50.088744 
 473 	 49.672330 
 474 	 49.689680 
 475 	 50.019342 
 476 	 49.672330 
 477 	 50.071393 
 478 	 50.001991 
 479 	 49.654979 
 480 	 50.140796 
 481 	 49.637629 
 482 	 49.637629 
 483 	 49.637629 
 484 	 49.984640 
 485 	 49.602927 
 486 	 49.585577 
 487 	 49.880537 
 488 	 50.001991 
 489 	 49.550876 
 490 	 49.949939 
 491 	 49.984640 
 492 	 49.585577 
 493 	 49.550876 
 494 	 49.550876 
 495 	 49.533525 
 496 	 49.533525 
 497 	 49.880537 
 498 	 49.516175 
 499 	 49.568226 
 500 	 49.550876 
 501 	 49.533525 
 502 	 49.498824 
 503 	 49.498824 
 504 	 49.498824 
 505 	 49.516175 
 506 	 49.498824 
 507 	 49.863186 
 508 	 49.897887 
 509 	 49.464123 
 510 	 49.481473 
 511 	 49.446772 
 512 	 49.498824 
 513 	 49.481473 
 514 	 49.828485 
 515 	 49.446772 
 516 	 49.429422 
 517 	 49.759083 
 518 	 49.811135 
 519 	 49.845836 
 520 	 49.412071 
 521 	 49.412071 
 522 	 49.724382 
 523 	 49.446772 
 524 	 49.759083 
 525 	 49.845836 
 526 	 49.741732 
 527 	 49.741732 
 528 	 49.412071 
 529 	 49.759083 
 530 	 49.394720 
 531 	 49.412071 
 532 	 49.793784 
 533 	 49.377370 
 534 	 49.377370 
 535 	 49.377370 
 536 	 49.394720 
 537 	 49.707031 
 538 	 49.776433 
 539 	 49.342669 
 540 	 49.585577 
 541 	 49.707031 
 542 	 49.325318 
 543 	 49.672330 
 544 	 49.654979 
 545 	 49.620278 
 546 	 49.360019 
 547 	 49.307967 
 548 	 49.325318 
 549 	 49.620278 
 550 	 49.307967 
 551 	 49.654979 
 552 	 49.290617 
 553 	 49.707031 
 554 	 49.672330 
 555 	 49.290617 
 556 	 49.290617 
 557 	 49.290617 
 558 	 49.741732 
 559 	 49.307967 
 560 	 49.672330 
 561 	 49.620278 
 562 	 49.221215 
 563 	 49.672330 
 564 	 49.654979 
 565 	 49.307967 
 566 	 49.620278 
 567 	 49.273266 
 568 	 49.689680 
 569 	 49.255916 
 570 	 49.273266 
 571 	 49.602927 
 572 	 49.707031 
 573 	 49.637629 
 574 	 49.637629 
 575 	 49.238565 
 576 	 49.255916 
 577 	 49.689680 
 578 	 49.620278 
 579 	 49.238565 
 580 	 49.533525 
 581 	 49.238565 
 582 	 49.550876 
 583 	 49.672330 
 584 	 49.689680 
 585 	 49.550876 
 586 	 49.568226 
 587 	 49.255916 
 588 	 49.273266 
 589 	 49.273266 
 590 	 49.672330 
 591 	 49.255916 
 592 	 49.672330 
 593 	 49.585577 
 594 	 49.255916 
 595 	 49.290617 
 596 	 49.759083 
 597 	 49.620278 
 598 	 49.637629 
 599 	 49.533525 
 600 	 49.707031 
 601 	 49.637629 
 602 	 49.273266 
 603 	 49.290617 
 604 	 49.620278 
 605 	 49.585577 
 606 	 49.637629 
 607 	 49.255916 
 608 	 49.637629 
 609 	 49.255916 
 610 	 49.654979 
 611 	 49.585577 
 612 	 49.238565 
 613 	 49.290617 
 614 	 49.255916 
 615 	 49.568226 
 616 	 49.290617 
 617 	 49.290617 
 618 	 49.672330 
 619 	 49.620278 
 620 	 49.672330 
