Period 	 T100 	 T0 
360 	 3.740000 	 2.747000 
Point Number 	 Temperature 
0 	 55.831791 
 1 	 55.519480 
 2 	 55.484779 
 3 	 55.502130 
 4 	 55.588883 
 5 	 55.953245 
 6 	 55.623584 
 7 	 55.658285 
 8 	 55.640934 
 9 	 55.692986 
 10 	 55.692986 
 11 	 55.692986 
 12 	 55.710337 
 13 	 55.762389 
 14 	 55.797090 
 15 	 55.797090 
 16 	 55.831791 
 17 	 55.814440 
 18 	 55.866492 
 19 	 55.918544 
 20 	 56.265556 
 21 	 55.935895 
 22 	 55.935895 
 23 	 55.953245 
 24 	 56.005297 
 25 	 56.005297 
 26 	 56.352309 
 27 	 56.369660 
 28 	 56.074699 
 29 	 56.525815 
 30 	 56.612568 
 31 	 56.161452 
 32 	 56.196154 
 33 	 56.629919 
 34 	 56.647269 
 35 	 56.612568 
 36 	 56.681971 
 37 	 56.664620 
 38 	 56.317608 
 39 	 56.751373 
 40 	 56.352309 
 41 	 56.352309 
 42 	 56.716672 
 43 	 56.734022 
 44 	 56.820775 
 45 	 56.820775 
 46 	 56.924879 
 47 	 56.525815 
 48 	 56.543166 
 49 	 56.577867 
 50 	 56.855477 
 51 	 56.976931 
 52 	 57.063684 
 53 	 57.219839 
 54 	 56.976931 
 55 	 57.081034 
 56 	 57.254540 
 57 	 57.150437 
 58 	 56.751373 
 59 	 57.185138 
 60 	 56.786074 
 61 	 56.872827 
 62 	 56.872827 
 63 	 56.855477 
 64 	 57.185138 
 65 	 56.924879 
 66 	 57.341293 
 67 	 57.445397 
 68 	 57.028983 
 69 	 56.976931 
 70 	 57.271891 
 71 	 57.046333 
 72 	 57.497449 
 73 	 57.445397 
 74 	 57.167787 
 75 	 57.133086 
 76 	 57.462748 
 77 	 57.237190 
 78 	 57.254540 
 79 	 57.636254 
 80 	 57.289242 
 81 	 57.705656 
 82 	 57.323943 
 83 	 57.775059 
 84 	 57.375995 
 85 	 57.393345 
 86 	 57.792409 
 87 	 57.775059 
 88 	 57.462748 
 89 	 57.480098 
 90 	 57.497449 
 91 	 57.913863 
 92 	 57.948565 
 93 	 57.601553 
 94 	 57.584202 
 95 	 57.636254 
 96 	 57.653604 
 97 	 57.670955 
 98 	 57.670955 
 99 	 57.740357 
 100 	 57.740357 
 101 	 57.792409 
 102 	 57.740357 
 103 	 57.827110 
 104 	 57.861812 
 105 	 57.879162 
 106 	 58.312927 
 107 	 57.896513 
 108 	 58.260876 
 109 	 57.983266 
 110 	 57.983266 
 111 	 58.000616 
 112 	 58.434382 
 113 	 58.486433 
 114 	 58.070019 
 115 	 58.087370 
 116 	 58.399680 
 117 	 58.156772 
 118 	 58.607888 
 119 	 58.555836 
 120 	 58.607888 
 121 	 58.573187 
 122 	 58.590537 
 123 	 58.555836 
 124 	 58.642589 
 125 	 58.659940 
 126 	 58.312927 
 127 	 58.347629 
 128 	 58.590537 
 129 	 58.816095 
 130 	 58.382330 
 131 	 58.781394 
 132 	 58.451732 
 133 	 58.816095 
 134 	 58.538485 
 135 	 58.538485 
 136 	 58.885497 
 137 	 58.573187 
 138 	 58.555836 
 139 	 58.607888 
 140 	 58.659940 
 141 	 58.659940 
 142 	 59.093705 
 143 	 59.128406 
 144 	 58.694641 
 145 	 59.041653 
 146 	 59.128406 
 147 	 58.764043 
 148 	 58.816095 
 149 	 58.816095 
 150 	 59.267211 
 151 	 58.868147 
 152 	 59.267211 
 153 	 58.902848 
 154 	 59.284561 
 155 	 58.954900 
 156 	 58.989601 
 157 	 58.989601 
 158 	 59.301912 
 159 	 59.041653 
 160 	 59.076354 
 161 	 59.475418 
 162 	 59.111055 
 163 	 59.128406 
 164 	 59.128406 
 165 	 59.163107 
 166 	 59.163107 
 167 	 59.631574 
 168 	 59.215159 
 169 	 59.232510 
 170 	 59.683625 
 171 	 59.267211 
 172 	 59.631574 
 173 	 59.787729 
 174 	 59.718327 
 175 	 59.787729 
 176 	 59.406016 
 177 	 59.943885 
 178 	 59.787729 
 179 	 59.787729 
 180 	 59.492769 
 181 	 59.458068 
 182 	 59.510119 
 183 	 59.562171 
 184 	 59.891833 
 185 	 59.891833 
 186 	 59.631574 
 187 	 59.995936 
 188 	 59.683625 
 189 	 59.648924 
 190 	 59.718327 
 191 	 59.735677 
 192 	 59.718327 
 193 	 60.204144 
 194 	 60.204144 
 195 	 60.204144 
 196 	 60.256196 
 197 	 59.839781 
 198 	 60.308247 
 199 	 60.325598 
 200 	 60.360299 
 201 	 59.943885 
 202 	 60.308247 
 203 	 59.995936 
 204 	 60.030638 
 205 	 60.395000 
 206 	 60.047988 
 207 	 60.065339 
 208 	 60.100040 
 209 	 60.117391 
 210 	 60.134741 
 211 	 60.464403 
 212 	 60.169442 
 213 	 60.585857 
 214 	 60.204144 
 215 	 60.585857 
 216 	 60.672610 
 217 	 60.689961 
 218 	 60.689961 
 219 	 60.655260 
 220 	 60.325598 
 221 	 60.325598 
 222 	 60.360299 
 223 	 60.794064 
 224 	 60.811415 
 225 	 60.724662 
 226 	 60.828766 
 227 	 60.898168 
 228 	 60.516455 
 229 	 60.551156 
 230 	 60.499104 
 231 	 60.568507 
 232 	 60.551156 
 233 	 60.932869 
 234 	 60.932869 
 235 	 60.620558 
 236 	 60.672610 
 237 	 61.054324 
 238 	 60.689961 
 239 	 61.158427 
 240 	 60.689961 
 241 	 60.759363 
 242 	 60.759363 
 243 	 61.158427 
 244 	 61.175778 
 245 	 61.071674 
 246 	 61.210479 
 247 	 61.227830 
 248 	 61.262531 
 249 	 60.915519 
 250 	 61.245180 
 251 	 60.915519 
 252 	 60.950220 
 253 	 61.366635 
 254 	 61.418687 
 255 	 61.054324 
 256 	 61.418687 
 257 	 61.089025 
 258 	 61.331933 
 259 	 61.106376 
 260 	 61.123726 
 261 	 61.574842 
 262 	 61.661595 
 263 	 61.540141 
